id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_id,player_of_match,umpire1,umpire2,umpire3,,,
17,IPL-2017,Bangalore,16-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,0,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,,,,
18,IPL-2017,Delhi,17-04-2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,0,NM Coulter-Nile,Nitin Menon,CK Nandan,,,,
19,IPL-2017,Hyderabad,17-04-2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,0,B Kumar,AY Dandekar,A Deshmukh,,,,
20,IPL-2017,Rajkot,18-04-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,0,CH Gayle,S Ravi,VK Sharma,,,,
21,IPL-2017,Hyderabad,19-04-2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,0,KS Williamson,CB Gaffaney,NJ Llong,,,,
22,IPL-2017,Indore,20-04-2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,0,JC Buttler,M Erasmus,C Shamshuddin,,,,
23,IPL-2017,Kolkata,21-04-2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,0,SK Raina,CB Gaffaney,Nitin Menon,,,,
24,IPL-2017,Mumbai,22-04-2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,0,MJ McClenaghan,A Nand Kishore,S Ravi,,,,
25,IPL-2017,Pune,22-04-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,6,0,MS Dhoni,AY Dandekar,A Deshmukh,,,,
26,IPL-2017,Rajkot,23-04-2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,26,0,0,HM Amla,AK Chaudhary,M Erasmus,,,,
27,IPL-2017,Kolkata,23-04-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,0,NM Coulter-Nile,CB Gaffaney,CK Nandan,,,,
28,IPL-2017,Mumbai,24-04-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,0,BA Stokes,A Nand Kishore,S Ravi,,,,
29,IPL-2017,Pune,26-04-2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,0,RV Uthappa,AY Dandekar,NJ Llong,,,,
30,IPL-2017,Bangalore,27-04-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,0,AJ Tye,AK Chaudhary,C Shamshuddin,,,,
31,IPL-2017,Kolkata,28-04-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,0,G Gambhir,NJ Llong,S Ravi,,,,
32,IPL-2017,Chandigarh,28-04-2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,0,Rashid Khan,Nitin Menon,CK Nandan,,,,
33,IPL-2017,Pune,29-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,0,LH Ferguson,KN Ananthapadmanabhan,M Erasmus,,,,
34,IPL-2017,Rajkot,29-04-2017,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,0,KH Pandya,AK Chaudhary,CB Gaffaney,,,,
35,IPL-2017,Chandigarh,30-04-2017,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,0,Sandeep Sharma,YC Barde,CK Nandan,,,,
36,IPL-2017,Hyderabad,30-04-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,0,DA Warner,AY Dandekar,S Ravi,,,,
37,IPL-2017,Mumbai,2017-01-05,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,0,RG Sharma,AK Chaudhary,CB Gaffaney,,,,
38,IPL-2017,Pune,2017-01-05,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,5,0,BA Stokes,M Erasmus,C Shamshuddin,,,,
39,IPL-2017,Delhi,2017-02-05,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,0,Mohammed Shami,YC Barde,Nitin Menon,,,,
40,IPL-2017,Kolkata,2017-03-05,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,0,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore,,,,
41,IPL-2017,Delhi,2017-04-05,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,0,RR Pant,M Erasmus,Nitin Menon,,,,
42,IPL-2017,Bangalore,2017-05-05,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,0,Sandeep Sharma,CB Gaffaney,C Shamshuddin,,,,
43,IPL-2017,Hyderabad,2017-06-05,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,0,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary,,,,
44,IPL-2017,Delhi,2017-06-05,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,0,LMP Simmons,Nitin Menon,CK Nandan,,,,
45,IPL-2017,Bangalore,2017-07-05,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,0,SP Narine,AY Dandekar,C Shamshuddin,,,,
46,IPL-2017,Chandigarh,2017-07-05,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,0,DR Smith,A Nand Kishore,VK Sharma,,,,
47,IPL-2017,Hyderabad,2017-08-05,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,0,S Dhawan,KN Ananthapadmanabhan,M Erasmus,,,,
48,IPL-2017,Chandigarh,2017-09-05,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,0,MM Sharma,A Nand Kishore,S Ravi,,,,
49,IPL-2017,Kanpur,2017-10-05,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,0,SS Iyer,YC Barde,AK Chaudhary,,,,
50,IPL-2017,Mumbai,2017-11-05,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,0,WP Saha,A Deshmukh,A Nand Kishore,,,,
51,IPL-2017,Delhi,2017-12-05,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,0,KK Nair,KN Ananthapadmanabhan,CK Nandan,,,,
52,IPL-2017,Kanpur,13-05-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,0,Mohammed Siraj,AK Chaudhary,Nitin Menon,,,,
53,IPL-2017,Kolkata,13-05-2017,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,0,AT Rayudu,A Nand Kishore,S Ravi,,,,
54,IPL-2017,Pune,14-05-2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,0,JD Unadkat,AY Dandekar,A Deshmukh,,,,
55,IPL-2017,Delhi,14-05-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,0,HV Patel,CK Nandan,C Shamshuddin,,,,
56,IPL-2017,Mumbai,16-05-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,0,Washington Sundar,S Ravi,C Shamshuddin,,,,
57,IPL-2017,Bangalore,17-05-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,0,NM Coulter-Nile,AK Chaudhary,Nitin Menon,,,,
58,IPL-2017,Bangalore,19-05-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,0,KV Sharma,NJ Llong,Nitin Menon,,,,
59,IPL-2017,Hyderabad,21-05-2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,0,KH Pandya,NJ Llong,S Ravi,,,,
60,IPL-2008,Bangalore,18-04-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,0,BB McCullum,Asad Rauf,RE Koertzen,,,,
61,IPL-2008,Chandigarh,19-04-2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,0,MEK Hussey,MR Benson,SL Shastri,,,,
62,IPL-2008,Delhi,19-04-2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,9,0,MF Maharoof,Aleem Dar,GA Pratapkumar,,,,
63,IPL-2008,Mumbai,20-04-2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,0,MV Boucher,SJ Davis,DJ Harper,,,,
64,IPL-2008,Kolkata,20-04-2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0,5,0,DJ Hussey,BF Bowden,K Hariharan,,,,
65,IPL-2008,Jaipur,21-04-2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,6,0,SR Watson,Aleem Dar,RB Tiffin,,,,
66,IPL-2008,Hyderabad,22-04-2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,0,V Sehwag,IL Howell,AM Saheba,,,,
67,IPL-2008,Chennai,23-04-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,6,0,0,ML Hayden,DJ Harper,GA Pratapkumar,,,,
68,IPL-2008,Hyderabad,24-04-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,0,YK Pathan,Asad Rauf,MR Benson,,,,
69,IPL-2008,Chandigarh,25-04-2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,66,0,0,KC Sangakkara,Aleem Dar,AM Saheba,,,,
70,IPL-2008,Bangalore,26-04-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,0,SR Watson,MR Benson,IL Howell,,,,
71,IPL-2008,Chennai,26-04-2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,0,JDP Oram,BF Bowden,AV Jayaprakash,,,,
72,IPL-2008,Mumbai,27-04-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,10,0,AC Gilchrist,Asad Rauf,SL Shastri,,,,
73,IPL-2008,Chandigarh,27-04-2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,4,0,SM Katich,RE Koertzen,I Shivram,,,,
74,IPL-2008,Bangalore,28-04-2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13,0,0,MS Dhoni,BR Doctrove,RB Tiffin,,,,
75,IPL-2008,Kolkata,29-04-2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,0,ST Jayasuriya,BF Bowden,AV Jayaprakash,,,,
76,IPL-2008,Delhi,30-04-2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,10,0,0,GD McGrath,Aleem Dar,I Shivram,,,,
77,IPL-2008,Hyderabad,2008-01-05,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,0,SE Marsh,BR Doctrove,RB Tiffin,,,,
78,IPL-2008,Jaipur,2008-01-05,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,0,SA Asnodkar,RE Koertzen,GA Pratapkumar,,,,
79,IPL-2008,Chennai,2008-02-05,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,8,0,V Sehwag,BF Bowden,K Hariharan,,,,
80,IPL-2008,Hyderabad,25-05-2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,5,0,R Vinay Kumar,Asad Rauf,RE Koertzen,,,,
81,IPL-2008,Chandigarh,2008-03-05,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,9,0,0,IK Pathan,DJ Harper,I Shivram,,,,
82,IPL-2008,Mumbai,2008-04-05,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,29,0,0,SM Pollock,IL Howell,RE Koertzen,,,,
83,IPL-2008,Jaipur,2008-04-05,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,0,Sohail Tanvir,Asad Rauf,AV Jayaprakash,,,,
84,IPL-2008,Bangalore,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,0,S Sreesanth,SJ Davis,BR Doctrove,,,,
85,IPL-2008,Chennai,2008-06-05,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,0,AC Gilchrist,MR Benson,RB Tiffin,,,,
86,IPL-2008,Mumbai,2008-07-05,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,0,A Nehra,DJ Harper,RE Koertzen,,,,
87,IPL-2008,Delhi,2008-08-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,0,MS Dhoni,Aleem Dar,RB Tiffin,,,,
88,IPL-2008,Kolkata,2008-08-05,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,5,0,0,SC Ganguly,Asad Rauf,IL Howell,,,,
89,IPL-2008,Jaipur,2008-09-05,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,0,YK Pathan,MR Benson,AM Saheba,,,,
90,IPL-2008,Bangalore,28-05-2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,0,CRD Fernando,BF Bowden,AV Jayaprakash,,,,
91,IPL-2008,Chennai,2008-10-05,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Chennai Super Kings,18,0,0,L Balaji,AV Jayaprakash,BG Jerling,,,,
92,IPL-2008,Hyderabad,2008-11-05,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,0,SC Ganguly,IL Howell,AM Saheba,,,,
93,IPL-2008,Jaipur,2008-11-05,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,0,SR Watson,SJ Davis,RE Koertzen,,,,
94,IPL-2008,Chandigarh,2008-12-05,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,9,0,SE Marsh,BR Doctrove,I Shivram,,,,
95,IPL-2008,Kolkata,13-05-2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,0,Shoaib Akhtar,Asad Rauf,IL Howell,,,,
96,IPL-2008,Mumbai,14-05-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,0,ST Jayasuriya,BR Doctrove,AM Saheba,,,,
97,IPL-2008,Chandigarh,28-05-2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,41,0,0,SE Marsh,SJ Davis,K Hariharan,,,,
98,IPL-2008,Delhi,15-05-2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,0,A Mishra,BG Jerling,GA Pratapkumar,,,,
99,IPL-2008,Mumbai,16-05-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,0,SM Pollock,BR Doctrove,DJ Harper,,,,
100,IPL-2008,Delhi,17-05-2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,Kings XI Punjab,6,0,0,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,,,,
101,IPL-2008,Jaipur,17-05-2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,65,0,0,GC Smith,BF Bowden,SL Shastri,,,,
102,IPL-2008,Hyderabad,18-05-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,25,0,0,DJ Bravo,BR Doctrove,DJ Harper,,,,
103,IPL-2008,Kolkata,18-05-2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,3,0,0,M Ntini,Asad Rauf,K Hariharan,,,,
104,IPL-2008,Bangalore,19-05-2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,0,SP Goswami,SJ Davis,GA Pratapkumar,,,,
105,IPL-2008,Kolkata,20-05-2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,0,YK Pathan,BG Jerling,RE Koertzen,,,,
106,IPL-2008,Mumbai,21-05-2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,1,0,0,SE Marsh,BF Bowden,GA Pratapkumar,,,,
107,IPL-2008,Chennai,21-05-2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,14,0,0,A Kumble,DJ Harper,I Shivram,,,,
108,IPL-2008,Chandigarh,23-05-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,0,SE Marsh,Asad Rauf,SJ Davis,,,,
109,IPL-2008,Delhi,24-05-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,0,KD Karthik,BF Bowden,K Hariharan,,,,
110,IPL-2008,Chennai,24-05-2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,10,0,0,JA Morkel,DJ Harper,SL Shastri,,,,
111,IPL-2008,Bangalore,2008-03-05,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3,0,0,P Kumar,BR Doctrove,SL Shastri,,,,
112,IPL-2008,Kolkata,25-05-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,3,0,Umar Gul,SJ Davis,I Shivram,,,,
113,IPL-2008,Jaipur,26-05-2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,0,Sohail Tanvir,BF Bowden,K Hariharan,,,,
114,IPL-2008,Hyderabad,27-05-2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Chennai Super Kings,0,7,0,SK Raina,BG Jerling,AM Saheba,,,,
115,IPL-2008,Mumbai,30-05-2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,105,0,0,SR Watson,BF Bowden,RE Koertzen,,,,
116,IPL-2008,Mumbai,31-05-2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,9,0,M Ntini,Asad Rauf,DJ Harper,,,,
117,IPL-2008,Mumbai,2008-01-06,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,0,YK Pathan,BF Bowden,RE Koertzen,,,,
118,IPL-2009,Cape Town,18-04-2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,19,0,0,SR Tendulkar,BR Doctrove,K Hariharan,,,,
119,IPL-2009,Cape Town,18-04-2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,0,R Dravid,BR Doctrove,RB Tiffin,,,,
120,IPL-2009,Cape Town,19-04-2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Delhi Daredevils,0,10,0,DL Vettori,MR Benson,SD Ranade,,,,
121,IPL-2009,Cape Town,19-04-2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,0,8,0,RP Singh,MR Benson,BR Doctrove,,,,
122,IPL-2009,Port Elizabeth,20-04-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,0,M Muralitharan,BG Jerling,SJA Taufel,,,,
123,IPL-2009,Durban,21-04-2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,0,CH Gayle,DJ Harper,SD Ranade,,,,
124,IPL-2009,Cape Town,22-04-2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,24,0,0,AC Gilchrist,M Erasmus,AM Saheba,,,,
125,IPL-2009,Durban,23-04-2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Delhi Daredevils,9,0,0,AB de Villiers,BR Doctrove,SJA Taufel,,,,
126,IPL-2009,Cape Town,23-04-2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,0,0,0,YK Pathan,MR Benson,M Erasmus,,,,
127,IPL-2009,Durban,24-04-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,7,0,RS Bopara,BR Doctrove,TH Wijewardene,,,,
128,IPL-2009,Durban,25-04-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,12,0,0,PP Ojha,HDPK Dharmasena,SJA Taufel,,,,
129,IPL-2009,Port Elizabeth,26-04-2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Delhi Daredevils,0,6,0,TM Dilshan,S Asnani,BG Jerling,,,,
130,IPL-2009,Cape Town,26-04-2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Kings XI Punjab,27,0,0,KC Sangakkara,M Erasmus,K Hariharan,,,,
131,IPL-2009,Durban,27-04-2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,0,HH Gibbs,IL Howell,TH Wijewardene,,,,
